Date,Open,High,Low,Close,Adj Close,Volume
2005-06-23,12600.000000,13100.000000,12600.000000,12950.000000,7861.537109,3542500
2005-06-24,12900.000000,12900.000000,12750.000000,12800.000000,7770.475586,263000
2005-06-27,12850.000000,12900.000000,12650.000000,12650.000000,7679.417969,1394000
2005-06-28,12650.000000,12800.000000,12600.000000,12750.000000,7740.124512,1549000
2005-06-29,12800.000000,12850.000000,12750.000000,12750.000000,7740.124512,170500
2005-06-30,12800.000000,12800.000000,12650.000000,12650.000000,7679.417969,696000
2005-07-01,12650.000000,12800.000000,12650.000000,12800.000000,7770.475586,495000
2005-07-04,12800.000000,12850.000000,12700.000000,12700.000000,7709.770996,770500
2005-07-05,12750.000000,12950.000000,12750.000000,12750.000000,7740.124512,1968500
2005-07-06,12850.000000,12850.000000,12700.000000,12750.000000,7740.124512,1314500
2005-07-07,12700.000000,12700.000000,12650.000000,12700.000000,7709.770996,1086500
2005-07-08,12650.000000,12750.000000,12650.000000,12750.000000,7740.124512,613000
2005-07-11,12800.000000,12900.000000,12750.000000,12800.000000,7770.475586,897500
2005-07-12,12800.000000,13050.000000,12800.000000,13050.000000,7922.245117,2256000
2005-07-13,13100.000000,13100.000000,13000.000000,13050.000000,7922.245117,722500
2005-07-14,13050.000000,13150.000000,13000.000000,13000.000000,7891.891113,839000
2005-07-15,13050.000000,13050.000000,12950.000000,13050.000000,7922.245117,640500
2005-07-18,13100.000000,13150.000000,13100.000000,13100.000000,7952.598633,300500
2005-07-19,13100.000000,13250.000000,13100.000000,13200.000000,8013.303711,650500
2005-07-20,13200.000000,13250.000000,13150.000000,13200.000000,8013.303711,941500
2005-07-21,13200.000000,13350.000000,13200.000000,13300.000000,8074.011230,2611500
2005-07-22,12900.000000,13000.000000,12800.000000,13000.000000,8200.166992,930500
2005-07-25,12950.000000,12950.000000,12750.000000,12850.000000,8105.549805,352500
2005-07-26,12800.000000,12800.000000,12750.000000,12750.000000,8042.472168,176500
2005-07-27,12750.000000,12850.000000,12750.000000,12800.000000,8074.010254,1425000
2005-07-28,12850.000000,12950.000000,12750.000000,12750.000000,8042.472168,691500
2005-07-29,12850.000000,13000.000000,12850.000000,12850.000000,8105.549805,1866000
2005-08-01,12850.000000,12900.000000,12800.000000,12800.000000,8074.010254,583500
2005-08-02,12800.000000,12850.000000,12800.000000,12850.000000,8105.549805,331000
2005-08-03,12850.000000,12850.000000,12800.000000,12800.000000,8074.010254,481500
2005-08-04,12800.000000,12850.000000,12750.000000,12750.000000,8042.472168,1005500
2005-08-05,12750.000000,12750.000000,12700.000000,12700.000000,8010.934570,507500
2005-08-08,12700.000000,12700.000000,12450.000000,12450.000000,7853.237793,697000
2005-08-09,12450.000000,12500.000000,12350.000000,12400.000000,7821.699219,939000
2005-08-10,12550.000000,12550.000000,12450.000000,12450.000000,7853.237793,141000
2005-08-11,12550.000000,12550.000000,12400.000000,12450.000000,7853.237793,322000
